epoch 0 : gan_loss = [87.98871, 0.0010957756, 87.98871] ; discriminator_loss_1 = 0.521567; discriminator_loss_2 = 0.500000
epoch 1 : gan_loss = [43.60831, 1.1920933e-07, 43.60831] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 2 : gan_loss = [41.01774, 1.1920933e-07, 41.01774] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 3 : gan_loss = [48.37156, 1.1920933e-07, 48.37156] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 4 : gan_loss = [42.52473, 1.1920933e-07, 42.52473] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 5 : gan_loss = [49.744522, 1.1920933e-07, 49.744522] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 6 : gan_loss = [37.816757, 1.1920933e-07, 37.816757] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 7 : gan_loss = [43.65234, 1.1920933e-07, 43.65234] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 8 : gan_loss = [33.078823, 1.1920933e-07, 33.078823] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 9 : gan_loss = [40.513634, 1.1920933e-07, 40.513634] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 10 : gan_loss = [44.15395, 1.1920933e-07, 44.15395] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 11 : gan_loss = [25.742271, 1.1920933e-07, 25.742271] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 12 : gan_loss = [36.66861, 1.1920933e-07, 36.66861] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 13 : gan_loss = [35.382023, 1.1920933e-07, 35.382023] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 14 : gan_loss = [38.688297, 4.52839, 38.68377] ; discriminator_loss_1 = 0.499479; discriminator_loss_2 = 0.500000
epoch 15 : gan_loss = [47.48011, 16.118095, 47.463993] ; discriminator_loss_1 = 0.000000; discriminator_loss_2 = 1.000000
epoch 16 : gan_loss = [40.538727, 1.1920933e-07, 40.538727] ; discriminator_loss_1 = 0.517834; discriminator_loss_2 = 0.500000
epoch 17 : gan_loss = [37.067657, 1.1920933e-07, 37.067657] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 18 : gan_loss = [34.419895, 1.1920933e-07, 34.419895] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 19 : gan_loss = [24.317585, 1.1920933e-07, 24.317585] ; discriminator_loss_1 = 0.000673; discriminator_loss_2 = 1.000000
epoch 20 : gan_loss = [29.151142, 16.118095, 29.135023] ; discriminator_loss_1 = 0.000000; discriminator_loss_2 = 1.000000
epoch 21 : gan_loss = [22.757801, 1.1920933e-07, 22.757801] ; discriminator_loss_1 = 0.000000; discriminator_loss_2 = 1.000000
epoch 22 : gan_loss = [29.870865, 1.1920933e-07, 29.870865] ; discriminator_loss_1 = 0.000000; discriminator_loss_2 = 1.000000
epoch 23 : gan_loss = [32.22987, 1.1920933e-07, 32.22987] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 24 : gan_loss = [29.355736, 1.1920933e-07, 29.355736] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 25 : gan_loss = [21.038399, 16.118095, 21.02228] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 26 : gan_loss = [24.031284, 1.1920933e-07, 24.031284] ; discriminator_loss_1 = 0.000000; discriminator_loss_2 = 1.000000
epoch 27 : gan_loss = [36.03062, 1.1920933e-07, 36.03062] ; discriminator_loss_1 = 0.511892; discriminator_loss_2 = 0.500000
epoch 28 : gan_loss = [26.174427, 1.1920933e-07, 26.174427] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 29 : gan_loss = [22.719948, 1.1920933e-07, 22.719948] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 30 : gan_loss = [24.436016, 1.1920933e-07, 24.436016] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 31 : gan_loss = [37.30979, 1.1920933e-07, 37.30979] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 32 : gan_loss = [21.364906, 1.1920933e-07, 21.364906] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 33 : gan_loss = [16.954418, 1.1920933e-07, 16.954418] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 34 : gan_loss = [24.851233, 1.1920933e-07, 24.851233] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 35 : gan_loss = [26.157738, 1.1920933e-07, 26.157738] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 36 : gan_loss = [24.211563, 1.1920933e-07, 24.211563] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 37 : gan_loss = [24.982386, 1.1920933e-07, 24.982386] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 38 : gan_loss = [30.371006, 1.1920933e-07, 30.371006] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 39 : gan_loss = [23.307251, 1.1920933e-07, 23.307251] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 40 : gan_loss = [22.615993, 1.1920933e-07, 22.615993] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 41 : gan_loss = [17.989784, 1.1920933e-07, 17.989784] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 42 : gan_loss = [26.428059, 1.1920933e-07, 26.428059] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 43 : gan_loss = [25.03444, 1.1920933e-07, 25.03444] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 44 : gan_loss = [19.121767, 1.1920933e-07, 19.121767] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 45 : gan_loss = [21.864298, 1.1920933e-07, 21.864298] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 46 : gan_loss = [25.014656, 1.1920933e-07, 25.014656] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 47 : gan_loss = [12.973288, 1.1920933e-07, 12.973288] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 48 : gan_loss = [18.680428, 1.1920933e-07, 18.680428] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 49 : gan_loss = [17.727825, 1.1920933e-07, 17.727825] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 50 : gan_loss = [21.667204, 1.1920933e-07, 21.667204] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 51 : gan_loss = [16.466076, 1.1920933e-07, 16.466076] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 52 : gan_loss = [25.178894, 1.1920933e-07, 25.178894] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 53 : gan_loss = [17.939304, 1.1920933e-07, 17.939304] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 54 : gan_loss = [16.252459, 1.1920933e-07, 16.252459] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 55 : gan_loss = [36.340984, 1.1920933e-07, 36.340984] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 56 : gan_loss = [15.672621, 1.1920933e-07, 15.672621] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 57 : gan_loss = [18.106085, 1.1920933e-07, 18.106085] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 58 : gan_loss = [31.51115, 1.1920933e-07, 31.51115] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 59 : gan_loss = [23.82995, 1.1920933e-07, 23.82995] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 60 : gan_loss = [14.56238, 1.1920933e-07, 14.56238] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 61 : gan_loss = [19.593592, 1.1920933e-07, 19.593592] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 62 : gan_loss = [17.56713, 1.1920933e-07, 17.56713] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 63 : gan_loss = [11.743339, 1.1920933e-07, 11.743339] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 64 : gan_loss = [20.047113, 1.1920933e-07, 20.047113] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 65 : gan_loss = [16.211973, 1.1920933e-07, 16.211973] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 66 : gan_loss = [11.151272, 1.1920933e-07, 11.151272] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 67 : gan_loss = [25.774187, 1.1920933e-07, 25.774187] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 68 : gan_loss = [19.49429, 1.1920933e-07, 19.49429] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 69 : gan_loss = [15.379076, 1.1920933e-07, 15.379076] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 70 : gan_loss = [26.820736, 1.1920933e-07, 26.820736] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 71 : gan_loss = [15.703907, 1.1920933e-07, 15.703907] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 72 : gan_loss = [17.298302, 1.1920933e-07, 17.298302] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 73 : gan_loss = [19.416183, 1.1920933e-07, 19.416183] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 74 : gan_loss = [17.959282, 1.1920933e-07, 17.959282] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 75 : gan_loss = [15.985548, 1.1920933e-07, 15.985548] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 76 : gan_loss = [22.828323, 1.1920933e-07, 22.828323] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 77 : gan_loss = [13.631047, 1.1920933e-07, 13.631047] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 78 : gan_loss = [11.86163, 1.1920933e-07, 11.86163] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 79 : gan_loss = [9.8964205, 1.1920933e-07, 9.8964205] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 80 : gan_loss = [21.438778, 1.1920933e-07, 21.438778] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 81 : gan_loss = [14.59515, 1.1920933e-07, 14.59515] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 82 : gan_loss = [17.163235, 1.1920933e-07, 17.163235] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 83 : gan_loss = [13.4926195, 1.1920933e-07, 13.4926195] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 84 : gan_loss = [22.66409, 1.1920933e-07, 22.66409] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 85 : gan_loss = [13.175676, 1.1920933e-07, 13.175676] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 86 : gan_loss = [16.686476, 1.1920933e-07, 16.686476] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 87 : gan_loss = [16.366531, 1.1920933e-07, 16.366531] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 88 : gan_loss = [22.729855, 1.1920933e-07, 22.729855] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 89 : gan_loss = [14.482519, 1.1920933e-07, 14.482519] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 90 : gan_loss = [19.013288, 1.1920933e-07, 19.013288] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
